2022-06-14 00:09:36,541::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 120020992, 'free': 3714777088}}} Heartbeat On HeartBeat
2022-06-14 00:10:07,661::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 119095296, 'free': 3715694592}}} Heartbeat On HeartBeat
2022-06-14 00:10:38,426::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 118968320, 'free': 3715809280}}} Heartbeat On HeartBeat
2022-06-14 00:11:09,134::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119123968, 'free': 3715645440}}} Heartbeat On HeartBeat
2022-06-14 00:11:39,907::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119115776, 'free': 3715645440}}} Heartbeat On HeartBeat
2022-06-14 00:12:10,754::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.686, 'ramStatus': {'total': 4025397248, 'used': 119304192, 'free': 3715448832}}} Heartbeat On HeartBeat
2022-06-14 00:12:41,554::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.199, 'ramStatus': {'total': 4025397248, 'used': 119521280, 'free': 3715223552}}} Heartbeat On HeartBeat
2022-06-14 00:13:12,319::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.686, 'ramStatus': {'total': 4025397248, 'used': 119513088, 'free': 3715223552}}} Heartbeat On HeartBeat
2022-06-14 00:13:43,079::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119488512, 'free': 3715223552}}} Heartbeat On HeartBeat
2022-06-14 00:14:13,862::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119468032, 'free': 3715223552}}} Heartbeat On HeartBeat
2022-06-14 00:14:44,605::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119054336, 'free': 3715629056}}} Heartbeat On HeartBeat
2022-06-14 00:15:15,442::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119173120, 'free': 3715502080}}} Heartbeat On HeartBeat
2022-06-14 00:15:46,257::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.686, 'ramStatus': {'total': 4025397248, 'used': 119754752, 'free': 3714912256}}} Heartbeat On HeartBeat
2022-06-14 00:16:17,150::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 117747712, 'free': 3716894720}}} Heartbeat On HeartBeat
2022-06-14 00:16:47,999::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 118247424, 'free': 3716370432}}} Heartbeat On HeartBeat
2022-06-14 00:17:18,749::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 118870016, 'free': 3715731456}}} Heartbeat On HeartBeat
2022-06-14 00:17:49,493::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 118571008, 'free': 3716009984}}} Heartbeat On HeartBeat
2022-06-14 00:18:20,411::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.199, 'ramStatus': {'total': 4025397248, 'used': 118685696, 'free': 3715887104}}} Heartbeat On HeartBeat
2022-06-14 00:18:51,282::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.686, 'ramStatus': {'total': 4025397248, 'used': 119169024, 'free': 3715395584}}} Heartbeat On HeartBeat
2022-06-14 00:19:22,123::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119123968, 'free': 3715416064}}} Heartbeat On HeartBeat
2022-06-14 00:19:52,892::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119349248, 'free': 3715162112}}} Heartbeat On HeartBeat
2022-06-14 00:20:23,781::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119156736, 'free': 3715330048}}} Heartbeat On HeartBeat
2022-06-14 00:20:54,768::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119332864, 'free': 3715133440}}} Heartbeat On HeartBeat
2022-06-14 00:21:25,589::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.686, 'ramStatus': {'total': 4025397248, 'used': 118902784, 'free': 3715555328}}} Heartbeat On HeartBeat
2022-06-14 00:21:56,289::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119091200, 'free': 3715358720}}} Heartbeat On HeartBeat
2022-06-14 00:22:27,004::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119078912, 'free': 3715358720}}} Heartbeat On HeartBeat
2022-06-14 00:22:57,735::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.634, 'ramStatus': {'total': 4025397248, 'used': 119169024, 'free': 3715260416}}} Heartbeat On HeartBeat
2022-06-14 00:23:28,545::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 50.147, 'ramStatus': {'total': 4025397248, 'used': 119013376, 'free': 3715407872}}} Heartbeat On HeartBeat
2022-06-14 00:23:59,323::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 118697984, 'free': 3715715072}}} Heartbeat On HeartBeat
2022-06-14 00:24:30,184::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.686, 'ramStatus': {'total': 4025397248, 'used': 118689792, 'free': 3715715072}}} Heartbeat On HeartBeat
2022-06-14 00:25:00,917::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119271424, 'free': 3715125248}}} Heartbeat On HeartBeat
2022-06-14 00:25:31,733::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119263232, 'free': 3715125248}}} Heartbeat On HeartBeat
2022-06-14 00:26:02,566::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119255040, 'free': 3715125248}}} Heartbeat On HeartBeat
2022-06-14 00:26:33,323::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 119373824, 'free': 3714998272}}} Heartbeat On HeartBeat
2022-06-14 00:27:04,021::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 48.199, 'ramStatus': {'total': 4025397248, 'used': 119463936, 'free': 3714899968}}} Heartbeat On HeartBeat
2022-06-14 00:27:34,749::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.66, 'ramStatus': {'total': 4025397248, 'used': 119189504, 'free': 3715153920}}} Heartbeat On HeartBeat
2022-06-14 00:28:05,541::DEBUG::proto_mqtt.py::181 topic : HeartBeat, data publish : {'action': 'hb', 'data': {'deviceId': 'E4:5F:01:82:7B:03', 'hotspot': 'avia', 'localStaticIp': '192.168.1.203', 'temp': 49.173, 'ramStatus': {'total': 4025397248, 'used': 118460416, 'free': 3715874816}}} Heartbeat On HeartBeat
